key 'h' pressed
key 'e' pressed
key 'l' pressed
key 'l' pressed
key 'o' pressed
key Key.space pressed
key 'k' pressed
key 'l' pressed
key 'a' pressed
key 'u' pressed
key 's' pressed
key Key.enter pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key Key.enter pressed
key Key.shift pressed
key Key.shift pressed
key 'K' pressed
key Key.enter pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.shift pressed
key Key.shift pressed
key 'S' pressed
key 'E' pressed
key 'A' pressed
key 'R' pressed
key 'C' pressed
key 'H' pressed
key Key.shift_r pressed
key Key.shift_r pressed
key '_' pressed
key Key.shift pressed
key Key.shift pressed
key Key.shift pressed
key Key.shift pressed
key Key.shift pressed
key Key.shift pressed
key Key.shift pressed
key Key.shift pressed
key 'F' pressed
key 'I' pressed
key 'L' pressed
key 'E' pressed
key Key.space pressed
key '=' pressed
key Key.space pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key '\x03' pressed
key '\x03' pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key '\x16' pressed
key Key.space pressed
key Key.shift_r pressed
key Key.shift_r pressed
key '+' pressed
key Key.space pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.shift_r pressed
key Key.shift_r pressed
key '+' pressed
key Key.backspace pressed
key Key.shift_r pressed
key Key.shift_r pressed
key '_' pressed
key Key.space pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.shift_r pressed
key Key.shift_r pressed
key Key.shift_r pressed
key Key.shift_r pressed
key '+' pressed
key Key.space pressed
key Key.shift_r pressed
key Key.shift_r pressed
key '"' pressed
key '"' pressed
key Key.left pressed
key Key.left pressed
key '/' pressed
key Key.ctrl_l pressed
key Key.ctrl_l pressed
key '\x03' pressed
key 'p' pressed
key 'y' pressed
key 'h' pressed
key 't' pressed
key 'i' pressed
key 'n' pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key 't' pressed
key Key.backspace pressed
key 'y' pressed
key 't' pressed
key 'h' pressed
key 'o' pressed
key 'n' pressed
key Key.space pressed
key 's' pressed
key 'o' pressed
key Key.backspace pressed
key 't' pressed
key 'o' pressed
key 'p' pressed
key Key.space pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key Key.backspace pressed
key 's' pressed
key 't' pressed
key 'o' pressed
key 'p' pressed
key Key.space pressed
key Key.backspace pressed
key Key.shift pressed
key Key.shift pressed
key 'K' pressed
key 'e' pressed
key 'y' pressed
key Key.shift pressed
key Key.shift pressed
key 'L' pressed
key 'o' pressed
key 'g' pressed
key 'g' pressed
key 'e' pressed
key 'r' pressed
key '.' pressed
key 'p' pressed
key 'y' pressed
key Key.enter pressed
